HGT2-1,,HGT2-2,,HGT2-3,,HGT2-4,
X,Y,X,Y,X,Y,X,Y
7.68560175054705,2452.78975453575,7.9600875273523,2562.34791889007,20.677928519329,1954.45037353255,10.4304595185996,2678.46318036286
10.7049452954048,2368.36712913554,17.8415754923414,2535.02668089648,23.3312910284464,1856.0939167556,11.8028884026258,2559.61579509072
13.9987746170678,2290.04624688723,21.1354048140044,2514.53575240128,26.6251203501094,1823.30843116329,15.2339606126915,2323.97011739594
22.7823194748359,2104.71718249733,24.4292341356674,2513.1696905016,29.9189496717724,1828.77267876201,16.1031655725748,1888.87940234792
26.0761487964989,2059.6371398079,27.7230634573304,2526.8303094984,33.2127789934354,1853.36179295624,16.1946608315099,1715.38954108858
29.3699781181619,2014.55709711846,31.0168927789934,2573.27641408751,36.5066083150985,1880.68303094984,16.4691466083151,1436.7129135539
32.3893216630197,1964.72315901814,34.3107221006564,2619.72251867663,39.8004376367615,1916.20064034152,17.0181181619256,1383.43649946638
40.349409190372,1761.83564567769,37.6045514223195,2645.67769477054,43.0942669584245,1950.35218783351,17.5670897155361,1235.90181430096
43.643238512035,1756.37139807898,40.8983807439825,2662.0704375667,46.3880962800875,1976.30736392743,17.8415754923414,1117.05442902882
46.937067833698,1771.39807897545,44.1922100656455,2681.19530416222,49.6819256017506,2007.72678762006,18.1160612691466,965.421558164355
50.2308971553611,1800.08537886873,47.4860393873085,2705.78441835646,52.9757549234136,2030.94983991462,18.9395185995624,826.083244397012
53.5247264770241,1838.33511205977,50.7798687089715,2733.10565635005,56.2695842450766,2050.07470651014,20.3119474835886,711.334044823906
56.8185557986871,1879.31696905016,54.0736980306346,2757.69477054429,59.5634135667396,2074.66382070438,22.2333479212254,586.339381003202
60.1123851203501,1932.59338313767,57.3675273522976,2774.08751334045,65.3276148796499,2104.71718249733,24.9782056892779,517.353255069371
63.4062144420131,1985.86979722519,60.6613566739606,2805.50693703308,71.6407877461707,2142.96691568837,28.2720350109409,481.835645677695
66.7000437636762,2039.1462113127,63.9551859956236,2834.19423692636,74.9346170678337,2167.5560298826,31.5658643326039,461.344717182497
69.9938730853392,2101.52970473141,67.2490153172867,2858.7833511206,78.2284463894967,2190.77908217716,34.859693654267,446.318036286019
73.123010940919,2152.25613660619,70.5428446389497,2879.2742796158,81.5222757111598,2209.90394877268,38.15352297593,427.193169690502
76.5815317286652,2195.10494485948,73.8366739606127,2897.03308431163,84.5416192560175,2229.30202774813,41.447352297593,432.657417289221
89.7568490153173,2347.87620064034,77.1305032822757,2912.05976520811,89.2078774617068,2244.05549626467,44.741181619256,432.657417289221
93.0506783369803,2369.73319103522,80.4243326039387,2928.45250800427,93.3251641137856,2260.44823906083,48.035010940919,429.925293489861
96.3445076586433,2391.5901814301,83.7181619256018,2948.94343649947,97.4424507658643,2268.64461045891,51.3288402625821,427.193169690502
99.6383369803064,2416.17929562433,87.0119912472648,2958.50586979722,101.285251641138,2285.03735325507,54.6226695842451,438.12166488794
102.932166301969,2438.03628601921,88.9333916849015,2965.33617929562,105.128052516411,2285.03735325507,57.9164989059081,449.050160085379
106.225995623632,2463.99146211313,94.1486214442013,2985.82710779082,110.892253829322,2311.67556029883,61.2103282275711,462.710779082177
109.519824945295,2484.48239060832,96.0700218818381,2989.92529348986,113.911597374179,2327.38527214514,64.5041575492341,477.737459978655
112.813654266958,2504.97331910352,101.285251641138,3017.24653148346,117.205426695842,2342.41195304162,67.7979868708971,495.496264674493
116.107483588621,2522.73212379936,103.206652078775,3022.71077908218,120.499256017505,2350.6083244397,71.0918161925602,517.353255069371
119.401312910284,2539.12486659552,108.421881838074,3039.10352187834,123.793085339169,2357.4386339381,74.3856455142232,535.112059765208
122.695142231948,2551.41942369264,111.715711159737,3044.56776947705,127.086914660832,2373.83137673426,77.6794748358862,555.602988260405
125.988971553611,2566.44610458911,115.0095404814,3069.15688367129,130.380743982495,2401.15261472785,80.9733041575493,577.459978655283
129.282800875274,2580.10672358591,118.303369803063,3084.18356456777,133.674573304158,2431.20597652081,84.2671334792123,603.4151547492
132.576630196937,2597.86552828175,121.597199124726,3100.57630736393,136.968402625821,2463.99146211313,87.5609628008753,612.977588046959
135.8704595186,2607.42796157951,124.89102844639,3116.96905016009,140.262231947484,2485.848452508,92.5017067833698,612.977588046959
139.164288840263,2618.35645677695,128.184857768053,3129.2636072572,143.556061269147,2507.70544290288,97.9914223194749,604.781216648879
142.458118161926,2634.74919957311,131.478687089716,3140.19210245464,146.84989059081,2529.56243329776,99.9128227571116,596.584845250801
145.751947483589,2651.14194236926,134.772516411379,3153.85272145144,150.143719912473,2545.95517609392,104.03010940919,600.68303094984
149.045776805252,2657.97225186766,138.066345733042,3167.51334044824,153.382652078775,2565.35325506937,109.519824945295,597.95090715048
152.339606126915,2672.99893276414,141.360175054705,3179.80789754536,156.731378555799,2586.93703308431,112.813654266958,614.343649946638
155.633435448578,2686.65955176094,144.654004376368,3186.63820704376,160.025207877462,2595.13340448239,116.107483588621,632.102454642476
